"cell","center_x","center_y"
"cell330",734.123545981944,-3147.25183980539
"cell331",777.26954710111,-3191.85584096238
"cell332",861.563549287617,-3146.81983979419
"cell333",776.567547082901,-3218.15384164453
"cell334",675.263544455171,-3226.36184185743
"cell335",756.857546571642,-3172.30784045532
"cell336",738.173546086997,-3234.08384205773
"cell337",791.6875474751,-3191.42384095117
"cell338",749.891546390951,-3160.15784014016
"cell339",823.115548290312,-3160.10384013876
"cell340",712.52354542166,-3207.51584136859
"cell341",751.619546435773,-3219.39584167674
"cell342",734.447545990348,-3250.12184247375
"cell343",860.051549248397,-3267.94184293598
"cell344",695.297544974834,-3289.64444349892
"cell345",752.699546463788,-3254.5498425886
"cell346",742.817546207458,-3149.19583985582
"cell347",839.207548707724,-3083.74783815816
"cell348",844.661548849195,-3156.64784004912
"cell349",851.195549018681,-3154.43383999169
"cell350",738.119546085596,-3268.96784296259
"cell351",730.397545885295,-3175.92584054917
"cell352",733.421545963734,-3200.44184118509
"cell353",732.503545939922,-3163.1278402172
"cell354",726.779545791447,-3288.24044346251
"cell355",842.987548805773,-3235.59584209695
"cell356",849.953548986465,-3123.59983919188
"cell357",776.999547094107,-3147.8458398208
"cell358",758.96354662627,-3214.21184154227
"cell359",803.94554779306,-3260.75984274969
"cell360",812.639548018575,-3223.4998417832
"cell361",715.223545491695,-3285.27584338561
"cell362",714.899545483291,-3290.72444352694
"cell363",805.511547833681,-3248.82584244013
"cell364",840.827548749745,-3194.01584101841
"cell365",761.879546701908,-3121.00783912465
"cell366",798.923547662795,-3141.90583966672
"cell367",727.643545813859,-3227.06384187564
"cell368",703.559545189142,-3208.00184138119
"cell369",866.531549416482,-3173.11784047633
"cell370",784.991547301412,-3115.66183898598
"cell371",826.355548374355,-3131.69983940199
"cell372",766.847546830773,-3226.19984185323
"cell373",680.663544595242,-3090.55183833465
"cell374",783.911547273397,-3167.01584031805
"cell375",726.833545792848,-3268.58984295279
"cell376",755.345546532422,-3243.64184230566
"cell377",768.791546881199,-3152.92183995247
"cell378",832.83554854244,-3282.19784330577
"cell379",873.546149598435,-3175.16984052956
"cell380",806.537547860295,-3237.70184215158
"cell381",849.899548985064,-3197.90384111926
"cell382",672.455544382334,-3085.52983820438
"cell383",680.771544598043,-3244.45184232667
"cell384",728.129545826465,-3122.89783917367
"cell385",676.610277015716,-3447.88279355317
"cell386",747.080278843641,-3334.48279061168
"cell387",812.582280542701,-3324.06079034135
"cell388",850.706281531602,-3490.9153946694
"cell389",807.020280398428,-3289.23078943789
"cell390",838.124281205237,-3369.25879151374
"cell391",671.966276895255,-3346.36279091984
"cell392",848.546281475574,-3403.06279239058
"cell393",834.398281108588,-3305.91678987071
"cell394",756.09827907756,-3285.93678935245
"cell395",807.506280411035,-3335.9407906495
"cell396",771.488279476762,-3423.15079291165
"cell397",693.944277465343,-3459.87079386413
"cell398",848.168281465769,-3372.87679160759
"cell399",785.744279846549,-3450.69079362601
"cell400",739.304278641939,-3404.73679243401
"cell401",703.826277721673,-3445.02079347894
"cell402",706.364277787507,-3278.48478915915
"cell403",739.412278644741,-3291.82278950512
"cell404",759.1762791574,-3333.61879058927
"cell405",860.42628178373,-3451.66279365122
"cell406",756.422279085964,-3457.8727938123
"cell407",716.894278060645,-3365.20879140869
"cell408",843.632281348109,-3336.75079067051
"cell409",833.04828107357,-3367.90879147872
"cell410",686.438277270645,-3369.15079151094
"cell411",802.052280269563,-3467.53879406303
"cell412",836.07228115201,-3357.64879121259
"cell413",695.94227751717,-3338.37079071254
"cell414",715.598278027028,-3306.34878988191
"cell415",796.652280129492,-3479.25679436699
"cell416",861.452281810343,-3466.78279404342
"cell417",823.220280818641,-3299.32878969982
"cell418",834.830281119794,-3312.558790043
"cell419",831.266281027347,-3463.48879395798
"cell420",704.528277739882,-3358.6207912378
"cell421",868.952882004902,-3342.58279082179
"cell422",820.304280743003,-3422.98879290745
"cell423",836.126281153411,-3403.44079240039
"cell424",754.370279032737,-3295.17078959197
"cell425",674.504276961088,-3278.59818916209
"cell426",753.668279014528,-3428.71279305592
"cell427",740.87027868256,-3284.04678930342
"cell428",677.150277029723,-3431.46679312736
"cell429",721.0522781685,-3330.00079049543
"cell430",798.00228016451,-3425.47279297188
"cell431",736.010278556496,-3320.01079023629
"cell432",723.698278237134,-3457.6567938067
"cell433",811.178280506283,-3380.86879181489
"cell434",669.752276837826,-3333.02479057387
"cell435",785.150279831141,-3438.00079329684
"cell436",812.636280544102,-3348.73879098147
"cell437",741.086278688163,-3457.00879378989
"cell438",754.856279045343,-3366.4507914409
"cell439",789.578279945999,-3444.37279346213
"cell440",685.628277249634,-3331.62079053745
"cell441",771.596279479563,-3395.61079219729
"cell442",685.30427724123,-3316.93279015645
"cell443",689.462277349085,-3425.04079296067
"cell444",729.746278394014,-3415.26679270715
"cell445",704.744277745485,-3372.33679159358
"cell446",672.776276916265,-3387.94279199839
"cell447",825.110280867666,-3324.43879035115
"cell448",706.742277797312,-3331.35079053044
"cell449",795.73428010568,-3311.91079002619
"cell450",681.416277140379,-3436.43479325622
"cell451",672.722276914865,-3408.19279252365
"cell452",775.538279581815,-3372.55279159918
"cell453",800.702280234545,-3292.84878953174
"cell454",760.958279203624,-3281.9947892502
"cell455",723.914278242737,-3345.01279088482
"cell456",791.576279997826,-3461.70679391176
"cell457",832.832281067967,-3486.92479456589
"cell458",737.792278602719,-3353.16679109633
"cell459",692.32212715596,-3539.50777312741
"cell460",674.340126689523,-3618.99577518925
"cell461",686.760127011687,-3649.88377599046
"cell462",780.342129439116,-3495.92977199703
"cell463",708.738127581775,-3611.27377498895
"cell464",810.906130231917,-3684.0657768771
"cell465",689.730127088726,-3620.34577522427
"cell466",703.716127451509,-3594.53377455473
"cell467",776.940129350871,-3662.89777632803
"cell468",734.550128251314,-3626.33977537975
"cell469",728.12412808463,-3652.15177604929
"cell470",828.078130677342,-3556.62577357143
"cell471",725.8561280258,-3514.12777246907
"cell472",815.820130359381,-3561.6477737017
"cell473",693.88812719658,-3663.54577634484
"cell474",776.13012932986,-3686.27977693453
"cell475",741.894128441811,-3479.62717157416
"cell476",816.198130369186,-3549.98377339914
"cell477",673.908126678318,-3578.81977414712
"cell478",713.220127698034,-3631.41577551141
"cell479",839.526130974293,-3535.61977302656
"cell480",706.308127518743,-3671.26777654514
"cell481",723.210127957165,-3532.59577294812
"cell482",841.308131020516,-3596.53177460656
"cell483",712.572127681226,-3536.75377305597
"cell484",823.002130545676,-3592.85977451131
"cell485",681.900126885623,-3557.21977358684
"cell486",693.996127199382,-3505.27177223936
"cell487",722.238127931952,-3494.63377196342
"cell488",818.844130437821,-3568.50577387959
"cell489",820.518130481243,-3627.47377540916
"cell490",711.114127643406,-3674.45377662778
"cell491",862.848731579259,-3601.39177473262
"cell492",679.848126832396,-3627.47377540916
"cell493",761.712128955871,-3615.70177510381
"cell494",720.996127899736,-3553.49377349019
"cell495",697.344127286226,-3547.76977334172
"cell496",766.19412907213,-3512.34577242285
"cell497",764.142129018903,-3655.01377612352
"cell498",775.428129311651,-3614.56777507439
"cell499",681.198126867414,-3586.32577434182
"cell500",737.30412832275,-3636.32977563888
"cell501",795.786129839718,-3531.94777293131
