"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,6.58017471504647,0.941,0.072,0,"10","P2ry12"
0,6.44715596346094,0.614,0.018,0,"10","Gpr34"
0,6.4375300461454,0.596,0.016,0,"10","P2ry6"
0,6.18081625964224,0.934,0.065,0,"10","Csf1r"
0,6.0831409587303,0.544,0.018,0,"10","Cd300c2"
0,7.75049286011098,0.947,0.033,0,"11","Abcc9"
0,7.19331823847556,0.947,0.063,0,"11","Atp13a5"
0,6.94234562383923,0.704,0.013,0,"11","Tbxa2r"
0,6.87508061860625,0.906,0.08,0,"11","Kcnj8"
0,6.198602584233,0.84,0.047,0,"11","P2ry14"
0,5.97074227914135,0.803,0.029,0,"11","Gper1"
0,5.56783027668431,0.89,0.07,0,"11","S1pr3"
0,5.55186574394792,0.962,0.112,0,"11","Pdgfrb"
0,5.25078951596088,0.824,0.076,0,"11","Pth1r"
0,5.11218325167531,0.332,0.019,0,"11","Cysltr2"
0,7.79646684357647,0.357,0.004,0,"12","Sctr"
0,6.41146494656204,0.661,0.021,0,"12","Cxcr4"
0,4.3320827366208,0.342,0.031,0,"12","Celsr1"
0,3.04859507350555,0.819,0.295,0,"12","Sox9"
0,2.97389544183688,0.825,0.263,0,"12","Aqp4"
0,2.73343084333492,0.761,0.317,0,"12","Gfap"
0,2.55985405498386,0.707,0.281,0,"12","Mlc1"
0,2.28187323720211,0.255,0.087,0,"12","Gpr156"
0,2.1876760572536,0.453,0.142,0,"12","Smo"
0,2.16014000286249,0.697,0.364,0,"12","Slc25a18"
0,7.42851817220897,0.643,0.013,0,"13","Lmod1"
0,7.3600004895245,0.604,0.037,0,"13","Myh11"
0,6.20579680749385,0.269,0.007,0,"13","Hcar1"
0,6.10695592962013,0.368,0.021,0,"13","Pln"
0,5.83392970397336,0.388,0.018,0,"13","Gpr182"
0,4.31599439202364,0.595,0.068,0,"13","Ddr2"
0,4.04228399257645,0.258,0.031,0,"13","Ror2"
0,3.93428081739272,0.451,0.088,0,"13","Efemp1"
0,3.29224028559103,0.433,0.056,0,"13","Gprc5c"
0,3.27234841720602,0.327,0.056,0,"13","Ednra"
0,8.77985303239951,0.711,0.027,0,"14","Gpr151"
0,8.13870676850124,0.569,0.007,0,"14","Chat"
0,5.51382165518095,0.504,0.016,0,"14","Htr5b"
0,4.85310836900291,0.475,0.039,0,"14","Gpr139"
0,3.72053109240919,0.548,0.07,0,"14","Tacr1"
0,3.60431746172097,0.338,0.033,0,"14","Ror2"
0,3.4482315781016,0.696,0.178,0,"14","Amigo2"
0,3.3232279379889,0.517,0.086,0,"14","Gpr156"
0,3.1214961284817,0.637,0.197,0,"14","Nrp2"
0,2.83313958052182,0.253,0.054,0,"14","Epha8"
0,2.48982823154545,0.86,0.157,0,"15","S1pr5"
0,2.47576325348988,0.871,0.169,0,"15","Erbb3"
0,2.36259151406596,0.997,0.31,0,"15","Gjc3"
0,2.35937248786291,0.807,0.168,0,"15","Plxnb3"
0,2.35827005125118,0.842,0.232,0,"15","Gpr62"
0,2.3220751761432,0.841,0.223,0,"15","Lpar1"
0,2.16104699357758,0.892,0.296,0,"15","Fgfr2"
0,2.12257456085879,0.996,0.422,0,"15","Olig1"
0,1.93952746072482,0.986,0.603,0,"15","Gprc5b"
0,1.90597599273774,0.914,0.474,0,"15","Ddr1"
0,6.38514425450061,0.865,0.013,0,"16","Cckar"
0,4.43083616406853,0.701,0.023,0,"16","Pln"
0,4.32893017462738,0.999,0.323,0,"16","Gad1"
0,3.49988554558324,0.737,0.109,0,"16","Ret"
0,3.16338045788769,0.867,0.166,0,"16","Adra1d"
0,3.00413554915027,0.982,0.198,0,"16","Slc32a1"
0,2.97808338039413,0.842,0.145,0,"16","Chrm2"
0,2.58731485806444,0.525,0.087,0,"16","Met"
0,2.46896833483656,0.803,0.214,0,"16","Crhr1"
0,2.39512466760029,0.747,0.178,0,"16","Flt3"
0,4.02849191151213,0.657,0.017,0,"17","Htr5b"
0,3.08860755568857,0.552,0.173,0,"17","Gpr161"
0,2.78853978006123,0.327,0.053,0,"17","Drd5"
0,2.68631409033741,0.689,0.282,0,"17","Sstr4"
0,2.48494281542541,0.482,0.108,0,"17","Htr1a"
0,2.20864031907555,0.71,0.167,0,"17","Adra1d"
0,2.17195005388305,0.907,0.462,0,"17","Epha7"
0,2.16198486689958,0.909,0.464,0,"17","Epha6"
0,1.96827949888956,0.624,0.239,0,"17","Gpr63"
0,1.94194208450996,0.334,0.067,0,"17","Ror1"
0,6.8988427986042,0.893,0.038,0,"18","Crhr2"
0,6.22207852660969,0.387,0.013,0,"18","F2rl3"
0,6.18025264651581,0.96,0.154,0,"18","Htr2c"
0,6.01319331683404,0.368,0.017,0,"18","Rrh"
0,5.25499359282642,0.888,0.104,0,"18","Fzd4"
0,4.83856445485459,0.373,0.026,0,"18","Mc3r"
0,4.79037416923584,0.678,0.051,0,"18","Fzd7"
0,4.7889608190268,0.747,0.065,0,"18","Ror1"
0,4.39223476022707,0.823,0.061,0,"18","Gprc5c"
0,4.11020294058061,0.912,0.295,0,"18","Adgra3"
0,3.69466526638217,0.348,0.028,0,"19","Pln"
0,2.8728541096742,0.837,0.174,0,"19","Erbb3"
0,2.85272594367908,1,0.314,0,"19","Gjc3"
0,2.84051723387764,0.893,0.162,0,"19","S1pr5"
0,2.82898511966644,0.871,0.236,0,"19","Gpr62"
0,2.74817867283638,0.798,0.172,0,"19","Plxnb3"
0,2.58001487921879,0.904,0.3,0,"19","Fgfr2"
0,2.45677998977385,0.809,0.228,0,"19","Lpar1"
0,2.41920663685832,0.994,0.426,0,"19","Olig1"
0,2.37617669505035,0.994,0.606,0,"19","Gprc5b"
